model,condition,item_id,domain,response,correct_answer,is_correct
llama3-8b,T1,9047,physics,C,B,False
llama3-8b,T1,9048,physics,A,J,False
llama3-8b,T1,9049,physics,C,F,False
llama3-8b,T1,9052,physics,G,C,False
llama3-8b,T1,9054,physics,D,H,False
llama3-8b,T1,9055,physics,F,F,True
llama3-8b,T1,9059,physics,B,B,True
llama3-8b,T1,9060,physics,B,A,False
llama3-8b,T1,9061,physics,B,C,False
llama3-8b,T1,9069,physics,D,G,False
llama3-8b,T1,9070,physics,C,D,False
llama3-8b,T1,9071,physics,B,D,False
llama3-8b,T1,9074,physics,B,H,False
llama3-8b,T1,9082,physics,G,E,False
llama3-8b,T1,9085,physics,A,I,False
llama3-8b,T1,9086,physics,F,G,False
llama3-8b,T1,9088,physics,C,G,False
llama3-8b,T1,9089,physics,D,D,True
llama3-8b,T1,9091,physics,D,A,False
llama3-8b,T1,9097,physics,B,A,False
llama3-8b,T1,9098,physics,F,A,False
llama3-8b,T1,9100,physics,D,B,False
llama3-8b,T1,9104,physics,C,J,False
llama3-8b,T1,9105,physics,D,B,False
llama3-8b,T1,9106,physics,C,E,False
llama3-8b,T1,9107,physics,B,A,False
llama3-8b,T1,9108,physics,E,G,False
llama3-8b,T1,9110,physics,F,B,False
llama3-8b,T1,9111,physics,B,B,True
llama3-8b,T1,9115,physics,J,J,True
llama3-8b,T1,9116,physics,D,A,False
llama3-8b,T1,9117,physics,C,F,False
llama3-8b,T1,9120,physics,A,D,False
llama3-8b,T1,9121,physics,D,H,False
llama3-8b,T1,9123,physics,A,A,True
llama3-8b,T1,9129,physics,G,F,False
llama3-8b,T1,9130,physics,C,J,False
llama3-8b,T1,9135,physics,E,E,True
llama3-8b,T1,9140,physics,D,D,True
llama3-8b,T1,9141,physics,D,A,False
llama3-8b,T1,9142,physics,C,G,False
llama3-8b,T1,9143,physics,D,H,False
llama3-8b,T1,9147,physics,B,J,False
llama3-8b,T1,9149,physics,C,I,False
llama3-8b,T1,9152,physics,A,D,False
llama3-8b,T1,9153,physics,E,H,False
llama3-8b,T1,9156,physics,G,A,False
llama3-8b,T1,9157,physics,C,C,True
llama3-8b,T1,9158,physics,C,E,False
llama3-8b,T1,9161,physics,C,A,False
llama3-8b,T1,9165,physics,J,B,False
llama3-8b,T1,9167,physics,F,C,False
llama3-8b,T1,9169,physics,E,F,False
llama3-8b,T1,9171,physics,C,F,False
llama3-8b,T1,9178,physics,E,D,False
llama3-8b,T1,9179,physics,E,G,False
llama3-8b,T1,9181,physics,E,A,False
llama3-8b,T1,9182,physics,B,F,False
llama3-8b,T1,9183,physics,E,H,False
llama3-8b,T1,9185,physics,D,J,False
llama3-8b,T1,9186,physics,A,B,False
llama3-8b,T1,9189,physics,C,J,False
llama3-8b,T1,9190,physics,B,F,False
llama3-8b,T1,9193,physics,A,D,False
llama3-8b,T1,9194,physics,C,C,True
llama3-8b,T1,9199,physics,E,E,True
llama3-8b,T1,9200,physics,F,E,False
llama3-8b,T1,9206,physics,D,E,False
llama3-8b,T1,9207,physics,B,A,False
llama3-8b,T1,9209,physics,C,G,False
llama3-8b,T1,9211,physics,B,B,True
llama3-8b,T1,9213,physics,A,H,False
llama3-8b,T1,9214,physics,J,J,True
llama3-8b,T1,9216,physics,D,D,True
llama3-8b,T1,9218,physics,A,C,False
llama3-8b,T1,9223,physics,D,J,False
llama3-8b,T1,9226,physics,B,C,False
llama3-8b,T1,9229,physics,B,A,False
llama3-8b,T1,9230,physics,E,G,False
llama3-8b,T1,9231,physics,B,D,False
llama3-8b,T1,9234,physics,B,D,False
llama3-8b,T1,9237,physics,C,A,False
llama3-8b,T1,9238,physics,B,B,True
llama3-8b,T1,9239,physics,B,B,True
llama3-8b,T1,9241,physics,E,C,False
llama3-8b,T1,9242,physics,D,A,False
llama3-8b,T1,9245,physics,E,J,False
llama3-8b,T1,9246,physics,B,J,False
llama3-8b,T1,9249,physics,J,J,True
llama3-8b,T1,9252,physics,E,D,False
llama3-8b,T1,9255,physics,D,D,True
llama3-8b,T1,9257,physics,D,D,True
llama3-8b,T1,9258,physics,E,C,False
llama3-8b,T1,9265,physics,D,D,True
llama3-8b,T1,9267,physics,C,F,False
llama3-8b,T1,9268,physics,B,F,False
llama3-8b,T1,9272,physics,A,J,False
llama3-8b,T1,9273,physics,A,A,True
llama3-8b,T1,9274,physics,B,B,True
llama3-8b,T1,9277,physics,D,A,False
llama3-8b,T1,9278,physics,E,E,True
llama3-8b,T1,9279,physics,E,E,True
llama3-8b,T1,9283,physics,G,G,True
llama3-8b,T1,9284,physics,B,I,False
llama3-8b,T1,9290,physics,H,I,False
llama3-8b,T1,9292,physics,E,E,True
llama3-8b,T1,9294,physics,B,B,True
llama3-8b,T1,9297,physics,D,J,False
llama3-8b,T1,9300,physics,B,H,False
llama3-8b,T1,9302,physics,A,D,False
llama3-8b,T1,9305,physics,J,H,False
llama3-8b,T1,9306,physics,F,F,True
llama3-8b,T1,9309,physics,E,F,False
llama3-8b,T1,9313,physics,E,D,False
llama3-8b,T1,9315,physics,E,E,True
llama3-8b,T1,9321,physics,D,I,False
llama3-8b,T1,9322,physics,C,E,False
llama3-8b,T1,9325,physics,B,B,True
llama3-8b,T1,9326,physics,D,B,False
llama3-8b,T1,9328,physics,B,I,False
llama3-8b,T1,9333,physics,A,A,True
llama3-8b,T1,9338,physics,C,J,False
llama3-8b,T1,9340,physics,I,I,True
llama3-8b,T1,9342,physics,B,J,False
llama3-8b,T1,9343,physics,B,H,False
llama3-8b,T1,9346,physics,B,A,False
llama3-8b,T1,9347,physics,C,C,True
llama3-8b,T1,9362,physics,D,D,True
llama3-8b,T1,9365,physics,A,A,True
llama3-8b,T1,9367,physics,D,J,False
llama3-8b,T1,9369,physics,J,C,False
llama3-8b,T1,9373,physics,E,G,False
llama3-8b,T1,9374,physics,E,D,False
llama3-8b,T1,9376,physics,C,H,False
llama3-8b,T1,9380,physics,B,A,False
llama3-8b,T1,9383,physics,E,I,False
llama3-8b,T1,9385,physics,G,A,False
llama3-8b,T1,9388,physics,B,I,False
llama3-8b,T1,9389,physics,E,F,False
llama3-8b,T1,9392,physics,C,E,False
llama3-8b,T1,9395,physics,E,F,False
llama3-8b,T1,9396,physics,C,D,False
llama3-8b,T1,9398,physics,G,G,True
llama3-8b,T1,9400,physics,A,H,False
llama3-8b,T1,9401,physics,C,J,False
llama3-8b,T1,9402,physics,A,F,False
llama3-8b,T1,9403,physics,B,G,False
llama3-8b,T1,9412,physics,J,G,False
llama3-8b,T1,9414,physics,C,G,False
llama3-8b,T1,9416,physics,C,D,False
llama3-8b,T1,9422,physics,G,B,False
llama3-8b,T1,9423,physics,G,J,False
llama3-8b,T1,9424,physics,A,J,False
llama3-8b,T1,9427,physics,B,B,True
llama3-8b,T1,9430,physics,E,E,True
llama3-8b,T1,9431,physics,E,G,False
llama3-8b,T1,9438,physics,B,B,True
llama3-8b,T1,9440,physics,E,I,False
llama3-8b,T1,9443,physics,F,B,False
llama3-8b,T1,9453,physics,C,C,True
llama3-8b,T1,9454,physics,C,I,False
llama3-8b,T1,9456,physics,B,I,False
llama3-8b,T1,9457,physics,G,J,False
llama3-8b,T1,9459,physics,B,G,False
llama3-8b,T1,9460,physics,C,F,False
llama3-8b,T1,9465,physics,B,B,True
llama3-8b,T1,9471,physics,A,G,False
llama3-8b,T1,9473,physics,A,F,False
llama3-8b,T1,9474,physics,B,G,False
llama3-8b,T1,9475,physics,C,C,True
llama3-8b,T1,9476,physics,A,A,True
llama3-8b,T1,9477,physics,D,D,True
llama3-8b,T1,9479,physics,D,D,True
llama3-8b,T1,9482,physics,B,H,False
llama3-8b,T1,9487,physics,B,H,False
llama3-8b,T1,9488,physics,G,G,True
llama3-8b,T1,9495,physics,C,J,False
llama3-8b,T1,9498,physics,E,C,False
llama3-8b,T1,9499,physics,D,A,False
llama3-8b,T1,9501,physics,B,G,False
llama3-8b,T1,9503,physics,D,D,True
llama3-8b,T1,9504,physics,E,G,False
llama3-8b,T1,9506,physics,C,G,False
llama3-8b,T1,9510,physics,D,D,True
llama3-8b,T1,9512,physics,E,C,False
llama3-8b,T1,9513,physics,B,I,False
llama3-8b,T1,9514,physics,C,D,False
llama3-8b,T1,9515,physics,A,A,True
llama3-8b,T1,9517,physics,J,A,False
llama3-8b,T1,9518,physics,B,H,False
llama3-8b,T1,9519,physics,B,E,False
llama3-8b,T1,9523,physics,C,F,False
llama3-8b,T1,9526,physics,C,C,True
llama3-8b,T1,9531,physics,E,F,False
llama3-8b,T1,9532,physics,C,E,False
llama3-8b,T1,9535,physics,D,H,False
llama3-8b,T1,9536,physics,E,B,False
llama3-8b,T1,9540,physics,H,G,False
llama3-8b,T1,9545,physics,J,C,False
llama3-8b,T1,9551,physics,B,B,True
llama3-8b,T1,9557,physics,B,E,False
llama3-8b,T1,9559,physics,B,H,False
llama3-8b,T1,9561,physics,A,F,False
llama3-8b,T1,9563,physics,B,J,False
llama3-8b,T1,9564,physics,B,I,False
llama3-8b,T1,9568,physics,G,G,True
llama3-8b,T1,9569,physics,C,C,True
llama3-8b,T1,9571,physics,F,G,False
llama3-8b,T1,9572,physics,F,C,False
llama3-8b,T1,9576,physics,B,B,True
llama3-8b,T1,9578,physics,D,A,False
llama3-8b,T1,9580,physics,C,E,False
llama3-8b,T1,9582,physics,E,B,False
llama3-8b,T1,9585,physics,D,D,True
llama3-8b,T1,9588,physics,C,B,False
llama3-8b,T1,9589,physics,J,A,False
llama3-8b,T1,9591,physics,E,H,False
llama3-8b,T1,9592,physics,F,J,False
llama3-8b,T1,9594,physics,B,E,False
llama3-8b,T1,9607,physics,E,A,False
llama3-8b,T1,9610,physics,F,A,False
llama3-8b,T1,9611,physics,B,E,False
llama3-8b,T1,9613,physics,H,C,False
llama3-8b,T1,9614,physics,E,E,True
llama3-8b,T1,9615,physics,E,J,False
llama3-8b,T1,9618,physics,B,B,True
llama3-8b,T1,9620,physics,C,D,False
llama3-8b,T1,9621,physics,B,B,True
llama3-8b,T1,9622,physics,D,F,False
llama3-8b,T1,9624,physics,D,I,False
llama3-8b,T1,9625,physics,D,I,False
llama3-8b,T1,9627,physics,E,C,False
llama3-8b,T1,9628,physics,B,B,True
llama3-8b,T1,9630,physics,F,F,True
llama3-8b,T1,9636,physics,G,C,False
llama3-8b,T1,9637,physics,F,F,True
llama3-8b,T1,9639,physics,H,A,False
llama3-8b,T1,9640,physics,D,F,False
llama3-8b,T1,9642,physics,F,J,False
llama3-8b,T1,9644,physics,E,I,False
llama3-8b,T1,9645,physics,E,I,False
llama3-8b,T1,9648,physics,A,E,False
llama3-8b,T1,9649,physics,G,A,False
llama3-8b,T1,9651,physics,E,A,False
llama3-8b,T1,9653,physics,C,A,False
llama3-8b,T1,9659,physics,C,J,False
llama3-8b,T1,9666,physics,E,E,True
llama3-8b,T1,9668,physics,F,F,True
llama3-8b,T1,9669,physics,D,G,False
llama3-8b,T1,9670,physics,A,E,False
llama3-8b,T1,9672,physics,D,I,False
llama3-8b,T1,9673,physics,F,F,True
llama3-8b,T1,9674,physics,C,C,True
llama3-8b,T1,9676,physics,B,G,False
llama3-8b,T1,9677,physics,C,C,True
llama3-8b,T1,9685,physics,E,G,False
llama3-8b,T1,9686,physics,B,H,False
llama3-8b,T1,9687,physics,D,G,False
llama3-8b,T1,9688,physics,A,H,False
llama3-8b,T1,9696,physics,E,E,True
llama3-8b,T1,9697,physics,B,H,False
llama3-8b,T1,9703,physics,B,B,True
llama3-8b,T1,9706,physics,B,E,False
llama3-8b,T1,9711,physics,D,D,True
llama3-8b,T1,9712,physics,C,C,True
llama3-8b,T1,9713,physics,C,D,False
llama3-8b,T1,9715,physics,E,E,True
llama3-8b,T1,9721,physics,A,J,False
llama3-8b,T1,9723,physics,B,H,False
llama3-8b,T1,9726,physics,C,I,False
llama3-8b,T1,9731,physics,J,D,False
llama3-8b,T1,9736,physics,E,E,True
llama3-8b,T1,9740,physics,C,F,False
llama3-8b,T1,9743,physics,F,H,False
llama3-8b,T1,9744,physics,B,I,False
llama3-8b,T1,9749,physics,D,A,False
llama3-8b,T1,9751,physics,B,G,False
llama3-8b,T1,9755,physics,C,D,False
llama3-8b,T1,9757,physics,C,A,False
llama3-8b,T1,9758,physics,B,J,False
llama3-8b,T1,9759,physics,H,H,True
llama3-8b,T1,9761,physics,B,B,True
llama3-8b,T1,9764,physics,C,D,False
llama3-8b,T1,9765,physics,B,I,False
llama3-8b,T1,9767,physics,A,A,True
llama3-8b,T1,9769,physics,F,E,False
llama3-8b,T1,9771,physics,C,F,False
llama3-8b,T1,9773,physics,E,E,True
llama3-8b,T1,9774,physics,C,D,False
llama3-8b,T1,9776,physics,D,D,True
llama3-8b,T1,9777,physics,E,A,False
llama3-8b,T1,9778,physics,E,E,True
llama3-8b,T1,9780,physics,F,B,False
llama3-8b,T1,9785,physics,A,H,False
llama3-8b,T1,9786,physics,E,A,False
llama3-8b,T1,9789,physics,B,D,False
llama3-8b,T1,9795,physics,C,C,True
llama3-8b,T1,9800,physics,B,C,False
llama3-8b,T1,9802,physics,D,I,False
llama3-8b,T1,9804,physics,D,H,False
llama3-8b,T1,9807,physics,I,I,True
llama3-8b,T1,9809,physics,C,F,False
llama3-8b,T1,9817,physics,C,B,False
llama3-8b,T1,9818,physics,F,D,False
llama3-8b,T1,9819,physics,A,I,False
llama3-8b,T1,9824,physics,E,I,False
llama3-8b,T1,9825,physics,F,F,True
llama3-8b,T1,9827,physics,F,C,False
llama3-8b,T1,9831,physics,B,I,False
llama3-8b,T1,9832,physics,C,I,False
llama3-8b,T1,9833,physics,B,H,False
llama3-8b,T1,9837,physics,C,C,True
llama3-8b,T1,9838,physics,B,G,False
llama3-8b,T1,9839,physics,B,I,False
llama3-8b,T1,9843,physics,E,A,False
llama3-8b,T1,9844,physics,D,B,False
llama3-8b,T1,9845,physics,C,G,False
llama3-8b,T1,9849,physics,B,H,False
llama3-8b,T1,9850,physics,C,F,False
llama3-8b,T1,9852,physics,G,G,True
llama3-8b,T1,9854,physics,F,D,False
llama3-8b,T1,9856,physics,A,D,False
llama3-8b,T1,9861,physics,E,A,False
llama3-8b,T1,9862,physics,A,I,False
llama3-8b,T1,9863,physics,D,A,False
llama3-8b,T1,9864,physics,A,H,False
llama3-8b,T1,9867,physics,C,B,False
llama3-8b,T1,9874,physics,F,A,False
llama3-8b,T1,9875,physics,G,H,False
llama3-8b,T1,9876,physics,C,C,True
llama3-8b,T1,9885,physics,C,C,True
llama3-8b,T1,9889,physics,C,A,False
llama3-8b,T1,9890,physics,E,J,False
llama3-8b,T1,9897,physics,B,B,True
llama3-8b,T1,9902,physics,J,J,True
llama3-8b,T1,9904,physics,B,B,True
llama3-8b,T1,9908,physics,B,I,False
llama3-8b,T1,9911,physics,J,G,False
llama3-8b,T1,9913,physics,J,J,True
llama3-8b,T1,9914,physics,A,A,True
llama3-8b,T1,9920,physics,D,E,False
llama3-8b,T1,9923,physics,C,J,False
llama3-8b,T1,9930,physics,A,J,False
llama3-8b,T1,9939,physics,B,I,False
llama3-8b,T1,9942,physics,G,F,False
llama3-8b,T1,9943,physics,G,I,False
llama3-8b,T1,9946,physics,D,B,False
llama3-8b,T1,9949,physics,A,H,False
llama3-8b,T1,9953,physics,E,F,False
llama3-8b,T1,9954,physics,E,F,False
llama3-8b,T1,9955,physics,D,F,False
llama3-8b,T1,9957,physics,D,C,False
llama3-8b,T1,9958,physics,E,E,True
llama3-8b,T1,9959,physics,C,I,False
llama3-8b,T1,9960,physics,C,D,False
llama3-8b,T1,9962,physics,C,E,False
llama3-8b,T1,9964,physics,B,B,True
llama3-8b,T1,9967,physics,B,A,False
llama3-8b,T1,9968,physics,D,C,False
llama3-8b,T1,9973,physics,B,G,False
llama3-8b,T1,9976,physics,J,E,False
llama3-8b,T1,9981,physics,A,A,True
llama3-8b,T1,9986,physics,C,B,False
llama3-8b,T1,9988,physics,G,G,True
llama3-8b,T1,9994,physics,B,H,False
llama3-8b,T1,10004,physics,B,C,False
llama3-8b,T1,10011,physics,C,I,False
llama3-8b,T1,10012,physics,I,I,True
llama3-8b,T1,10014,physics,E,H,False
llama3-8b,T1,10016,physics,C,C,True
llama3-8b,T1,10017,physics,E,E,True
llama3-8b,T1,10018,physics,D,D,True
